Team #,0,1,2,3,4,5,Elo
4468,4,1,1,0,0,0,1505
4952,4,1,1,0,0,0,1570
4513,4,2,1,0,0,0,1622
1014,4,1,1,0,0,0,1493
4645,4,3,1,0,0,0,1484
6025,4,1,1,0,0,0,1581
5000,4,1,1,0,0,0,1648
5913,4,1,1,0,0,0,1571
2551,4,2,1,0,0,0,1588
4717,4,2,1,0,0,0,1459
1912,4,2,1,0,0,0,1570
2544,4,3,1,0,0,0,1465
2429,4,2,1,0,0,0,1461
5442,4,2,0,0,0,0,1580
2980,4,1,0,0,0,0,1491
2135,4,1,0,0,0,0,1499
384,4,3,0,0,0,0,1633
4786,4,2,0,0,0,0,1607
1708,4,2,0,0,0,0,1621
3489,4,1,0,0,0,0,1631
4592,4,1,0,0,0,0,1556
4400,4,2,0,0,0,0,1573
4611,4,4,0,0,0,0,1605
5567,4,1,0,0,0,0,1635
4655,4,2,0,0,0,0,1653
56,4,2,0,0,0,0,1706
4361,4,1,0,0,0,0,1520
1757,4,2,0,0,0,0,1420
816,4,1,0,0,0,0,1504
423,4,1,0,0,0,0,1454
3102,4,1,0,0,0,0,1586
3130,4,2,0,0,0,0,1606
7528,4,3,0,0,0,0,1436
2994,4,2,0,0,0,0,1574
4091,4,2,0,0,0,0,1490
5683,4,1,0,0,0,0,1475
7137,4,3,0,0,0,0,1483
1311,4,1,0,0,0,0,1652
159,4,1,0,0,0,0,1517
4295,4,2,0,0,0,0,1549
219,4,1,0,0,0,0,1560
1325,4,1,0,0,0,0,1798
5653,4,3,0,0,0,0,1526
2180,4,2,0,0,0,0,1488
7160,4,2,0,0,0,0,1606
558,4,1,0,0,0,0,1645
3568,4,1,0,0,0,0,1507
6334,4,1,0,0,0,0,1608
3593,4,2,0,0,0,0,1510
5587,4,2,0,0,0,0,1638
2914,4,3,0,0,0,0,1527
3039,4,3,0,0,0,0,1641
5903,4,1,0,0,0,0,1566
2797,4,2,0,0,0,0,1422
2993,4,1,0,0,0,0,1486
6560,4,1,0,0,0,0,1550
1123,4,1,0,0,0,0,1479
5951,4,1,0,0,0,0,1593
1002,4,2,0,0,0,0,1559
1155,4,1,0,0,0,0,1609
2713,4,1,0,0,0,0,1418
703,4,2,0,0,0,0,1550
207,4,1,0,0,0,0,1677
3459,4,1,0,0,0,0,1522
6658,4,1,0,0,0,0,1384
2016,4,1,0,0,0,0,1635
3219,4,1,0,0,0,0,1481
7424,4,1,0,0,0,0,1490
2240,4,1,0,0,0,0,1582
1266,4,1,0,0,0,0,1487
2028,4,1,0,0,0,0,1578
5596,4,4,0,0,0,0,1522
5613,4,1,0,0,0,0,1462
4243,4,1,0,0,0,0,1481
7840,4,1,0,0,0,0,1588
3381,4,2,0,0,0,0,1460
7466,4,1,0,0,0,0,1439
5900,4,1,0,0,0,0,1501
5514,4,2,0,0,0,0,1468
1591,4,1,0,0,0,0,1487
7671,4,1,0,0,0,0,1535
3941,4,1,0,0,0,0,1524
3932,4,1,0,0,0,0,1624
5830,4,1,0,0,0,0,1514
1458,4,0,0,0,0,0,1518
3482,4,0,0,0,0,0,1534
1518,4,0,0,0,0,0,1565
5746,4,0,0,0,0,0,1451
4320,4,0,0,0,0,0,1424
4060,4,0,0,0,0,0,1618
5057,4,0,0,0,0,0,1450
6101,4,0,0,0,0,0,1495
2228,4,0,0,0,0,0,1621
2458,4,0,0,0,0,0,1535
2869,4,0,0,0,0,0,1477
1721,4,0,0,0,0,0,1462
533,4,0,0,0,0,0,1505
7708,4,0,0,0,0,0,1448
2212,4,0,0,0,0,0,1568
6421,4,0,0,0,0,0,1538
5123,4,0,0,0,0,0,1501
6969,4,0,0,0,0,0,1450
4186,4,0,0,0,0,0,1486
4531,4,0,0,0,0,0,1536
706,4,0,0,0,0,0,1528
1382,4,0,0,0,0,0,1504
2035,4,0,0,0,0,0,1508
3131,4,0,0,0,0,0,1509
5450,4,0,0,0,0,0,1574
6106,4,0,0,0,0,0,1545
3275,4,0,0,0,0,0,1467
1997,4,0,0,0,0,0,1515
213,4,0,0,0,0,0,1524
85,4,0,0,0,0,0,1639
1323,3,3,3,2,1,1,1917
4646,3,3,3,3,2,2,1481
1665,3,1,1,1,1,1,1558
1444,3,3,1,1,1,1,1578
4027,3,3,2,1,1,1,1593
525,3,2,1,1,1,1,1766
6908,3,2,2,1,1,1,1512
4662,3,2,1,1,1,1,1567
1468,3,3,3,2,2,2,1649
857,3,2,2,2,2,1,1535
686,3,1,1,1,1,1,1528
3019,3,2,1,1,1,1,1574
6367,3,2,1,1,1,1,1508
4680,3,3,3,3,1,1,1605
3260,3,2,1,1,1,1,1460
4206,3,2,1,1,1,1,1490
1646,3,3,2,1,1,1,1637
1727,3,2,2,2,2,2,1610
5205,3,1,1,1,1,1,1639
6802,3,2,1,1,1,1,1601
5607,3,2,1,1,1,1,1490
1714,3,2,2,1,1,1,1487
1011,3,1,1,1,1,0,1633
233,3,2,1,1,1,0,1613
2147,3,2,2,2,2,0,1741
3880,3,2,2,2,1,0,1502
126,3,1,1,1,1,0,1674
2393,3,2,1,1,1,0,1580
5842,3,2,2,1,1,0,1513
93,3,2,1,1,1,0,1568
5256,3,1,1,1,1,0,1533
2846,3,3,2,2,1,0,1488
2606,3,1,1,1,1,0,1457
5052,3,2,2,1,1,0,1541
5275,3,1,1,1,1,0,1390
4557,3,3,1,1,1,0,1609
6364,3,2,2,1,1,0,1568
323,3,3,2,2,1,0,1595
271,3,2,2,1,1,0,1651
6880,3,1,1,1,1,0,1550
3656,3,1,1,1,1,0,1644
3623,3,3,3,1,1,0,1488
1519,3,2,2,2,1,0,1663
3559,3,2,1,1,1,0,1491
753,3,1,1,1,1,0,1528
6390,3,2,1,1,1,0,1463
4512,3,2,1,1,1,0,1623
1188,3,2,2,1,0,0,1644
7480,3,2,1,1,0,0,1540
442,3,1,1,1,0,0,1418
3624,3,1,1,1,0,0,1491
5188,3,3,1,1,0,0,1523
1025,3,2,1,1,0,0,1760
157,3,2,2,1,0,0,1540
6331,3,1,1,1,0,0,1474
4744,3,1,1,1,0,0,1500
4590,3,3,1,1,0,0,1550
6845,3,1,1,1,0,0,1611
7173,3,1,1,1,0,0,1491
6901,3,2,1,1,0,0,1541
3802,3,1,1,1,0,0,1600
3793,3,3,2,1,0,0,1638
4409,3,2,2,1,0,0,1578
2470,3,3,2,1,0,0,1413
4469,3,1,1,1,0,0,1636
6357,3,1,1,1,0,0,1485
4774,3,1,1,1,0,0,1526
2489,3,1,1,1,0,0,1502
6201,3,3,1,1,0,0,1528
5638,3,3,2,1,0,0,1529
3729,3,1,1,1,0,0,1485
4334,3,2,1,1,0,0,1670
2583,3,1,1,1,0,0,1498
2423,3,3,2,1,0,0,1476
3329,3,2,1,1,0,0,1531
6200,3,1,1,1,0,0,1603
5145,3,2,1,1,0,0,1461
4,3,2,1,1,0,0,1557
5166,3,1,1,1,0,0,1679
4470,3,1,1,1,0,0,1482
7421,3,1,1,1,0,0,1473
4063,3,1,1,0,0,0,1608
1334,3,2,1,0,0,0,1479
3284,3,3,1,0,0,0,1667
4215,3,1,1,0,0,0,1486
3711,3,1,1,0,0,0,1614
2367,3,2,2,0,0,0,1489
7486,3,1,1,0,0,0,1503
1729,3,1,1,0,0,0,1636
2040,3,1,1,0,0,0,1649
6174,3,2,1,0,0,0,1480
5332,3,2,1,0,0,0,1553
3255,3,2,2,0,0,0,1626
4153,3,2,1,0,0,0,1614
1895,3,2,1,0,0,0,1575
5584,3,2,1,0,0,0,1558
2438,3,1,1,0,0,0,1610
2084,3,2,1,0,0,0,1516
4783,3,2,2,0,0,0,1545
4330,3,1,1,0,0,0,1439
4009,3,3,1,0,0,0,1639
662,3,3,2,0,0,0,1560
2386,3,2,1,0,0,0,1641
4343,3,1,1,0,0,0,1541
1359,3,1,1,0,0,0,1472
5933,3,1,1,0,0,0,1673
2867,3,1,1,0,0,0,1572
5804,3,3,1,0,0,0,1448
4283,3,1,1,0,0,0,1440
2039,3,1,1,0,0,0,1559
3749,3,1,1,0,0,0,1532
6768,3,1,1,0,0,0,1502
5115,3,1,1,0,0,0,1468
5747,3,1,1,0,0,0,1529
7494,3,2,1,0,0,0,1552
619,3,2,1,0,0,0,1688
2358,3,3,1,0,0,0,1595
7447,3,3,1,0,0,0,1594
86,3,2,1,0,0,0,1705
1662,3,2,0,0,0,0,1558
2421,3,1,0,0,0,0,1460
3996,3,2,0,0,0,0,1556
321,3,2,0,0,0,0,1623
7502,3,1,0,0,0,0,1531
7577,3,1,0,0,0,0,1378
4779,3,1,0,0,0,0,1567
3883,3,2,0,0,0,0,1530
447,3,1,0,0,0,0,1509
7682,3,1,0,0,0,0,1462
6002,3,1,0,0,0,0,1596
3160,3,2,0,0,0,0,1549
2374,3,1,0,0,0,0,1500
5234,3,1,0,0,0,0,1595
6884,3,2,0,0,0,0,1493
69,3,1,0,0,0,0,1652
6237,3,1,0,0,0,0,1563
4509,3,3,0,0,0,0,1541
7724,3,1,0,0,0,0,1588
6088,3,1,0,0,0,0,1564
4069,3,3,0,0,0,0,1601
6695,3,1,0,0,0,0,1557
3931,3,2,0,0,0,0,1618
7028,3,1,0,0,0,0,1571
2656,3,2,0,0,0,0,1486
4550,3,1,0,0,0,0,1536
2712,3,2,0,0,0,0,1480
4738,3,1,0,0,0,0,1488
6889,3,2,0,0,0,0,1440
378,3,1,0,0,0,0,1591
6081,3,2,0,0,0,0,1529
7757,3,2,0,0,0,0,1560
6925,3,1,0,0,0,0,1469
4014,3,1,0,0,0,0,1515
4941,3,1,0,0,0,0,1625
4180,3,3,0,0,0,0,1451
5344,3,2,0,0,0,0,1493
7525,3,1,0,0,0,0,1485
6191,3,1,0,0,0,0,1451
6352,3,1,0,0,0,0,1563
7054,3,2,0,0,0,0,1571
7056,3,1,0,0,0,0,1541
4118,3,1,0,0,0,0,1521
31,3,1,0,0,0,0,1501
5125,3,3,0,0,0,0,1451
6014,3,1,0,0,0,0,1541
3695,3,1,0,0,0,0,1656
7767,3,2,0,0,0,0,1454
7064,3,1,0,0,0,0,1478
4176,3,2,0,0,0,0,1515
5429,3,1,0,0,0,0,1541
5524,3,1,0,0,0,0,1510
4089,3,1,0,0,0,0,1562
314,3,1,0,0,0,0,1557
5810,3,1,0,0,0,0,1462
744,3,1,0,0,0,0,1690
4384,3,1,0,0,0,0,1486
6004,3,1,0,0,0,0,1487
3341,3,1,0,0,0,0,1543
4011,3,1,0,0,0,0,1466
5496,3,1,0,0,0,0,1543
180,3,1,0,0,0,0,1729
6325,3,2,0,0,0,0,1448
2022,3,3,0,0,0,0,1540
1250,3,2,0,0,0,0,1613
2341,3,1,0,0,0,0,1614
3218,3,1,0,0,0,0,1599
6647,3,1,0,0,0,0,1600
6651,3,1,0,0,0,0,1460
2635,3,1,0,0,0,0,1483
2537,3,1,0,0,0,0,1592
6510,3,2,0,0,0,0,1587
7660,3,1,0,0,0,0,1604
228,3,1,0,0,0,0,1630
4817,3,2,0,0,0,0,1380
1350,3,1,0,0,0,0,1535
3501,3,1,0,0,0,0,1454
1584,3,1,0,0,0,0,1484
6868,3,1,0,0,0,0,1481
6465,3,1,0,0,0,0,1612
6871,3,1,0,0,0,0,1556
7472,3,1,0,0,0,0,1436
2648,3,2,0,0,0,0,1571
5268,3,1,0,0,0,0,1463
3238,3,1,0,0,0,0,1569
5503,3,1,0,0,0,0,1519
1792,3,1,0,0,0,0,1532
3484,3,1,0,0,0,0,1521
6907,3,1,0,0,0,0,1585
2977,3,1,0,0,0,0,1494
2907,3,1,0,0,0,0,1596
7094,3,1,0,0,0,0,1413
6458,3,1,0,0,0,0,1490
1502,3,1,0,0,0,0,1448
6424,3,1,0,0,0,0,1574
4698,3,0,0,0,0,0,1591
5817,3,0,0,0,0,0,1610
116,3,0,0,0,0,0,1563
334,3,0,0,0,0,0,1545
3667,3,0,0,0,0,0,1692
4360,3,0,0,0,0,0,1463
5002,3,0,0,0,0,0,1529
1051,3,0,0,0,0,0,1562
3543,3,0,0,0,0,0,1442
5212,3,0,0,0,0,0,1382
6484,3,0,0,0,0,0,1423
4859,3,0,0,0,0,0,1579
5803,3,0,0,0,0,0,1706
7464,3,0,0,0,0,0,1488
5472,3,0,0,0,0,0,1639
2959,3,0,0,0,0,0,1548
7280,3,0,0,0,0,0,1442
7565,3,0,0,0,0,0,1430
4103,3,0,0,0,0,0,1626
3176,3,0,0,0,0,0,1552
7079,3,0,0,0,0,0,1529
6987,3,0,0,0,0,0,1486
2903,3,0,0,0,0,0,1495
663,3,0,0,0,0,0,1560
2395,3,0,0,0,0,0,1498
1056,3,0,0,0,0,0,1535
3274,3,0,0,0,0,0,1462
3637,3,0,0,0,0,0,1645
5295,3,0,0,0,0,0,1509
1512,3,0,0,0,0,0,1435
34,3,0,0,0,0,0,1566
3390,3,0,0,0,0,0,1506
4643,3,0,0,0,0,0,1513
2083,3,0,0,0,0,0,1420
7118,3,0,0,0,0,0,1462
1262,3,0,0,0,0,0,1594
6239,3,0,0,0,0,0,1594
1566,3,0,0,0,0,0,1417
3062,3,0,0,0,0,0,1471
2130,3,0,0,0,0,0,1631
2989,3,0,0,0,0,0,1482
7197,3,0,0,0,0,0,1449
4585,3,0,0,0,0,0,1459
4573,3,0,0,0,0,0,1507
1595,3,0,0,0,0,0,1612
5623,3,0,0,0,0,0,1582
6315,3,0,0,0,0,0,1442
907,3,0,0,0,0,0,1571
4579,3,0,0,0,0,0,1593
6041,3,0,0,0,0,0,1441
5869,3,0,0,0,0,0,1443
2710,3,0,0,0,0,0,1514
4778,3,0,0,0,0,0,1520
7848,3,0,0,0,0,0,1507
1157,3,0,0,0,0,0,1462
7567,3,0,0,0,0,0,1443
2474,3,0,0,0,0,0,1622
5339,3,0,0,0,0,0,1434
5560,3,0,0,0,0,0,1542
1228,3,0,0,0,0,0,1513
6485,3,0,0,0,0,0,1643
7243,3,0,0,0,0,0,1428
1370,3,0,0,0,0,0,1583
5182,3,0,0,0,0,0,1562
4829,2,2,1,1,1,1,1534
3468,2,2,1,1,1,1,1431
1102,2,2,1,1,1,1,1750
2826,2,1,1,1,1,1,1695
358,2,1,1,1,1,1,1554
1758,2,2,1,1,1,1,1453
5550,2,2,1,1,1,1,1470
7226,2,2,2,2,2,1,1535
5498,2,2,1,1,1,1,1516
1984,2,2,1,1,1,1,1562
4549,2,1,1,1,1,1,1461
5826,2,1,1,1,1,1,1498
66,2,2,2,1,1,1,1623
2611,2,2,2,2,2,1,1650
4143,2,2,1,1,1,1,1685
4020,2,2,2,2,1,1,1673
623,2,1,1,1,1,1,1555
3958,2,1,1,1,1,1,1607
4152,2,2,2,1,1,1,1612
7498,2,2,2,2,1,1,1672
2472,2,1,1,1,1,0,1508
7561,2,1,1,1,1,0,1466
3229,2,2,2,2,1,0,1582
5039,2,1,1,1,1,0,1583
3288,2,1,1,1,1,0,1441
4505,2,2,1,1,1,0,1544
949,2,1,1,1,1,0,1426
5036,2,1,1,1,1,0,1609
3844,2,1,1,1,1,0,1517
5662,2,2,2,1,1,0,1426
571,2,2,1,1,1,0,1646
677,2,1,1,1,1,0,1493
359,2,2,1,1,1,0,1746
2662,2,1,1,1,1,0,1454
5678,2,2,1,1,1,0,1460
117,2,1,1,1,1,0,1497
3337,2,1,1,1,1,0,1470
5119,2,1,1,1,1,0,1526
3786,2,1,1,1,1,0,1418
4241,2,1,1,1,1,0,1443
2207,2,1,1,1,1,0,1425
3103,2,1,1,1,1,0,1491
5030,2,1,1,1,1,0,1515
771,2,1,1,1,1,0,1520
6513,2,1,1,1,1,0,1436
3243,2,1,1,1,1,0,1516
2158,2,1,1,1,1,0,1574
2972,2,1,1,1,1,0,1605
6329,2,1,1,1,0,0,1626
2227,2,2,2,2,0,0,1645
4546,2,2,1,1,0,0,1436
1551,2,1,1,1,0,0,1651
5439,2,2,1,1,0,0,1492
3997,2,1,1,1,0,0,1479
3038,2,1,1,1,0,0,1522
4681,2,1,1,1,0,0,1502
2587,2,1,1,1,0,0,1552
1723,2,2,2,2,0,0,1538
3986,2,1,1,1,0,0,1688
4112,2,1,1,1,0,0,1572
4454,2,1,1,1,0,0,1548
7503,2,2,1,1,0,0,1488
3360,2,1,1,1,0,0,1599
5528,2,2,2,2,0,0,1564
6995,2,2,2,1,0,0,1464
6580,2,1,1,1,0,0,1526
7769,2,2,2,1,0,0,1537
4919,2,2,1,1,0,0,1418
7308,2,2,2,1,0,0,1508
5667,2,1,1,1,0,0,1595
7427,2,2,2,1,0,0,1526
5618,2,2,1,1,0,0,1640
2854,2,1,1,1,0,0,1452
2522,2,2,2,1,0,0,1653
6867,2,1,1,0,0,0,1655
484,2,2,2,0,0,0,1589
5690,2,1,1,0,0,0,1548
3688,2,2,2,0,0,0,1626
5805,2,1,1,0,0,0,1525
5654,2,1,1,0,0,0,1567
7690,2,1,1,0,0,0,1513
4242,2,1,1,0,0,0,1598
5407,2,1,1,0,0,0,1678
6854,2,1,1,0,0,0,1500
176,2,1,1,0,0,0,1793
6738,2,2,1,0,0,0,1582
7265,2,1,1,0,0,0,1469
145,2,2,1,0,0,0,1637
6763,2,1,1,0,0,0,1545
223,2,1,1,0,0,0,1661
4504,2,1,1,0,0,0,1590
3201,2,2,2,0,0,0,1537
451,2,1,1,0,0,0,1442
1777,2,1,1,0,0,0,1480
4311,2,2,2,0,0,0,1629
7426,2,1,1,0,0,0,1698
7476,2,1,1,0,0,0,1523
4482,2,2,1,0,0,0,1534
7191,2,1,1,0,0,0,1454
188,2,2,2,0,0,0,1690
5019,2,1,1,0,0,0,1447
2509,2,2,1,0,0,0,1521
5860,2,1,1,0,0,0,1571
63,2,1,1,0,0,0,1528
1510,2,1,1,0,0,0,1483
3266,2,1,1,0,0,0,1500
4571,2,1,1,0,0,0,1584
7043,2,1,1,0,0,0,1415
3234,2,2,1,0,0,0,1422
5889,2,2,1,0,0,0,1614
6104,2,2,1,0,0,0,1543
2830,2,2,1,0,0,0,1530
4453,2,1,1,0,0,0,1475
2090,2,2,1,0,0,0,1511
4519,2,2,1,0,0,0,1497
7432,2,2,1,0,0,0,1471
3542,2,2,2,0,0,0,1699
4285,2,1,1,0,0,0,1546
4575,2,1,1,0,0,0,1499
2283,2,1,1,0,0,0,1566
4308,2,2,1,0,0,0,1489
3117,2,2,1,0,0,0,1512
2984,2,2,1,0,0,0,1547
5857,2,1,1,0,0,0,1433
716,2,1,1,0,0,0,1579
3950,2,2,0,0,0,0,1483
5148,2,1,0,0,0,0,1560
6644,2,1,0,0,0,0,1440
2445,2,2,0,0,0,0,1470
2085,2,1,0,0,0,0,1581
1825,2,1,0,0,0,0,1572
5438,2,1,0,0,0,0,1498
7166,2,1,0,0,0,0,1556
7621,2,2,0,0,0,0,1457
4189,2,1,0,0,0,0,1550
3838,2,1,0,0,0,0,1554
2609,2,2,0,0,0,0,1549
3990,2,1,0,0,0,0,1636
2183,2,2,0,0,0,0,1451
3386,2,1,0,0,0,0,1671
4516,2,1,0,0,0,0,1462
3767,2,1,0,0,0,0,1586
7445,2,1,0,0,0,0,1497
4123,2,1,0,0,0,0,1541
2849,2,2,0,0,0,0,1553
3610,2,1,0,0,0,0,1377
6919,2,1,0,0,0,0,1614
6100,2,1,0,0,0,0,1578
1279,2,1,0,0,0,0,1632
4737,2,1,0,0,0,0,1586
6947,2,1,0,0,0,0,1470
6956,2,2,0,0,0,0,1513
7277,2,1,0,0,0,0,1381
7688,2,1,0,0,0,0,1426
7694,2,1,0,0,0,0,1487
3933,2,1,0,0,0,0,1610
6336,2,2,0,0,0,0,1557
4780,2,1,0,0,0,0,1478
4048,2,1,0,0,0,0,1583
1388,2,1,0,0,0,0,1588
7627,2,1,0,0,0,0,1527
4169,2,1,0,0,0,0,1539
5202,2,1,0,0,0,0,1432
3571,2,1,0,0,0,0,1438
4270,2,2,0,0,0,0,1542
2197,2,2,0,0,0,0,1522
4015,2,1,0,0,0,0,1468
2096,2,2,0,0,0,0,1588
4674,2,2,0,0,0,0,1462
5056,2,1,0,0,0,0,1527
3814,2,2,0,0,0,0,1540
4827,2,1,0,0,0,0,1426
4623,2,1,0,0,0,0,1577
3669,2,2,0,0,0,0,1486
6906,2,1,0,0,0,0,1415
1610,2,1,0,0,0,0,1677
2171,2,1,0,0,0,0,1520
6866,2,1,0,0,0,0,1525
7911,2,1,0,0,0,0,1489
1517,2,2,0,0,0,0,1519
4416,2,1,0,0,0,0,1426
1285,2,1,0,0,0,0,1655
4908,2,1,0,0,0,0,1494
5242,2,2,0,0,0,0,1529
1212,2,1,0,0,0,0,1496
5147,2,2,0,0,0,0,1462
1413,2,1,0,0,0,0,1640
5949,2,1,0,0,0,0,1581
7886,2,1,0,0,0,0,1476
2503,2,2,0,0,0,0,1503
4906,2,1,0,0,0,0,1604
6934,2,1,0,0,0,0,1499
1159,2,1,0,0,0,0,1522
3683,2,2,0,0,0,0,1794
3008,2,1,0,0,0,0,1539
6121,2,1,0,0,0,0,1632
4121,2,1,0,0,0,0,1461
2667,2,1,0,0,0,0,1445
1740,2,1,0,0,0,0,1466
6321,2,1,0,0,0,0,1586
6220,2,2,0,0,0,0,1475
7439,2,1,0,0,0,0,1435
1658,2,2,0,0,0,0,1700
538,2,1,0,0,0,0,1525
7663,2,2,0,0,0,0,1546
2225,2,1,0,0,0,0,1495
5059,2,1,0,0,0,0,1489
4809,2,1,0,0,0,0,1443
2013,2,1,0,0,0,0,1512
7413,2,1,0,0,0,0,1513
7553,2,1,0,0,0,0,1674
5846,2,1,0,0,0,0,1647
3673,2,1,0,0,0,0,1436
2576,2,2,0,0,0,0,1629
611,2,1,0,0,0,0,1560
5866,2,1,0,0,0,0,1520
5293,2,2,0,0,0,0,1541
7570,2,1,0,0,0,0,1492
5085,2,1,0,0,0,0,1603
280,2,2,0,0,0,0,1505
7558,2,2,0,0,0,0,1546
6822,2,1,0,0,0,0,1518
7883,2,1,0,0,0,0,1511
1775,2,1,0,0,0,0,1578
6808,2,1,0,0,0,0,1442
6059,2,1,0,0,0,0,1453
1791,2,1,0,0,0,0,1469
6538,2,1,0,0,0,0,1585
6705,2,1,0,0,0,0,1525
5752,2,1,0,0,0,0,1526
1771,2,1,0,0,0,0,1692
2199,2,1,0,0,0,0,1632
3193,2,1,0,0,0,0,1533
7527,2,1,0,0,0,0,1481
5167,2,1,0,0,0,0,1515
1482,2,1,0,0,0,0,1411
6691,2,1,0,0,0,0,1548
6079,2,1,0,0,0,0,1600
6230,2,1,0,0,0,0,1476
2443,2,1,0,0,0,0,1638
1599,2,1,0,0,0,0,1639
2344,2,1,0,0,0,0,1489
746,2,2,0,0,0,0,1525
2585,2,1,0,0,0,0,1493
4377,2,1,0,0,0,0,1531
6453,2,1,0,0,0,0,1410
2054,2,1,0,0,0,0,1716
2141,2,1,0,0,0,0,1508
6962,2,1,0,0,0,0,1519
4263,2,1,0,0,0,0,1463
6985,2,1,0,0,0,0,1549
4050,2,1,0,0,0,0,1493
4141,2,1,0,0,0,0,1468
3668,2,1,0,0,0,0,1584
2165,2,1,0,0,0,0,1510
144,2,1,0,0,0,0,1636
1569,2,1,0,0,0,0,1532
7520,2,1,0,0,0,0,1418
7452,2,1,0,0,0,0,1448
1523,2,1,0,0,0,0,1575
6327,2,1,0,0,0,0,1497
7287,2,0,0,0,0,0,1440
1994,2,0,0,0,0,0,1406
7605,2,0,0,0,0,0,1570
7482,2,0,0,0,0,0,1459
71,2,0,0,0,0,0,1631
1649,2,0,0,0,0,0,1440
3974,2,0,0,0,0,0,1593
6569,2,0,0,0,0,0,1712
6474,2,0,0,0,0,0,1636
5526,2,0,0,0,0,0,1481
3603,2,0,0,0,0,0,1584
1571,2,0,0,0,0,0,1473
5756,2,0,0,0,0,0,1567
3291,2,0,0,0,0,0,1473
171,2,0,0,0,0,0,1524
6630,2,0,0,0,0,0,1485
5834,2,0,0,0,0,0,1540
7221,2,0,0,0,0,0,1457
5538,2,0,0,0,0,0,1530
3748,2,0,0,0,0,0,1575
3355,2,0,0,0,0,0,1434
5066,2,0,0,0,0,0,1490
4456,2,0,0,0,0,0,1677
1802,2,0,0,0,0,0,1511
6401,2,0,0,0,0,0,1551
5142,2,0,0,0,0,0,1524
2342,2,0,0,0,0,0,1507
3298,2,0,0,0,0,0,1477
4207,2,0,0,0,0,0,1553
3323,2,0,0,0,0,0,1418
3458,2,0,0,0,0,0,1529
801,2,0,0,0,0,0,1448
5716,2,0,0,0,0,0,1456
4601,2,0,0,0,0,0,1428
7652,2,0,0,0,0,0,1432
5911,2,0,0,0,0,0,1433
7548,2,0,0,0,0,0,1425
1075,2,0,0,0,0,0,1519
3965,2,0,0,0,0,0,1490
7748,2,0,0,0,0,0,1408
5635,2,0,0,0,0,0,1540
2559,2,0,0,0,0,0,1564
5892,2,0,0,0,0,0,1615
6098,2,0,0,0,0,0,1506
3970,2,0,0,0,0,0,1570
4525,2,0,0,0,0,0,1586
2145,2,0,0,0,0,0,1567
514,2,0,0,0,0,0,1489
6834,2,0,0,0,0,0,1456
6918,2,0,0,0,0,0,1588
2059,2,0,0,0,0,0,1597
578,2,0,0,0,0,0,1576
1374,2,0,0,0,0,0,1529
6359,2,0,0,0,0,0,1504
5308,2,0,0,0,0,0,1463
5402,2,0,0,0,0,0,1498
1786,2,0,0,0,0,0,1454
6342,2,0,0,0,0,0,1423
4804,2,0,0,0,0,0,1450
1831,2,0,0,0,0,0,1469
3146,2,0,0,0,0,0,1628
1258,2,0,0,0,0,0,1564
6346,2,0,0,0,0,0,1442
6621,2,0,0,0,0,0,1426
3134,2,0,0,0,0,0,1443
2352,2,0,0,0,0,0,1541
3388,2,0,0,0,0,0,1550
5914,2,0,0,0,0,0,1562
7170,2,0,0,0,0,0,1475
6584,2,0,0,0,0,0,1432
580,2,0,0,0,0,0,1447
2515,2,0,0,0,0,0,1406
5437,2,0,0,0,0,0,1542
296,2,0,0,0,0,0,1505
3225,2,0,0,0,0,0,1408
3636,2,0,0,0,0,0,1610
6241,2,0,0,0,0,0,1438
3043,2,0,0,0,0,0,1557
3189,2,0,0,0,0,0,1433
3676,2,0,0,0,0,0,1637
2594,2,0,0,0,0,0,1535
5006,2,0,0,0,0,0,1609
2523,2,0,0,0,0,0,1595
545,2,0,0,0,0,0,1391
5015,2,0,0,0,0,0,1674
2654,2,0,0,0,0,0,1405
2550,2,0,0,0,0,0,1549
6078,2,0,0,0,0,0,1497
7224,2,0,0,0,0,0,1408
1165,2,0,0,0,0,0,1496
3023,2,0,0,0,0,0,1382
3142,2,0,0,0,0,0,1576
6343,2,0,0,0,0,0,1577
5512,2,0,0,0,0,0,1475
1255,2,0,0,0,0,0,1508
3618,2,0,0,0,0,0,1519
7271,2,0,0,0,0,0,1469
7178,2,0,0,0,0,0,1580
120,2,0,0,0,0,0,1530
871,2,0,0,0,0,0,1542
5923,2,0,0,0,0,0,1419
5069,2,0,0,0,0,0,1539
5612,2,0,0,0,0,0,1500
4290,2,0,0,0,0,0,1591
6175,2,0,0,0,0,0,1505
6841,2,0,0,0,0,0,1505
7161,2,0,0,0,0,0,1492
7428,2,0,0,0,0,0,1430
6429,2,0,0,0,0,0,1598
4110,2,0,0,0,0,0,1495
1515,2,0,0,0,0,0,1460
5576,2,0,0,0,0,0,1523
7614,2,0,0,0,0,0,1472
5096,2,0,0,0,0,0,1464
5648,2,0,0,0,0,0,1465
128,2,0,0,0,0,0,1447
4998,2,0,0,0,0,0,1472
3619,2,0,0,0,0,0,1447
1168,2,0,0,0,0,0,1530
904,2,0,0,0,0,0,1615
6422,2,0,0,0,0,0,1446
4787,2,0,0,0,0,0,1443
3588,2,0,0,0,0,0,1645
7785,2,0,0,0,0,0,1532
4386,2,0,0,0,0,0,1366
4122,2,0,0,0,0,0,1614
1985,2,0,0,0,0,0,1450
