City,AvgDuration
1 NewYork,18.864421674538576
10 SanJose,32.04841670853856
100 DesMoines,15.177011975345884
11 Austin,20.804208337520535
12 Jacksonville,20.48922614142637
13 SanFrancisco,32.88563888888886
14 Columbus,14.589653259303928
15 FortWorth,19.041807272300925
16 Indianapolis,14.195492814792464
17 Charlotte,17.588781906341072
18 Seattle,32.38290447358721
19 Denver,19.81474888620909
2 LosAngeles,29.986633261313717
20 Washington,17.338264370415033
21 Boston,20.832135530767424
22 ElPaso,23.620881217968062
23 Detroit,14.716435684855808
24 Nashville,15.474384458848327
25 Memphis,16.228109821458485
26 Portland,32.426383537667895
27 OklahomaCity,17.489637172143496
28 LasVegas,26.795851488962573
29 Louisville,14.834214392188391
3 Chicago,14.180764998492627
30 Baltimore,17.398639969182344
31 Milwaukee,14.95622336113625
32 Albuquerque,22.00160678156301
33 Tucson,26.208451428667132
34 Fresno,31.317492128094347
35 Sacramento,30.858530901416966
36 Mesa,26.344884952936063
37 KansasCity,15.64024435567616
38 Atlanta,17.295235344856465
39 LongBeach,29.811336322982626
4 Houston,20.701168550899393
40 Omaha,16.010604754966018
41 Raleigh,18.276847921481934
42 ColoradoSprings,20.228793119619482
43 Miami,25.387119711586784
44 VirginiaBeach,19.382973009412787
45 Oakland,31.798110273674286
46 Minneapolis,16.665664882926336
47 Tulsa,16.778419848926383
48 Arlington,19.047344873212054
49 NewOrleans,19.481478846347102
5 Phoenix,26.526315370314496
50 Wichita,17.049068996415798
51 Cleveland,14.839199025223596
52 Tampa,22.662796720597573
53 Bakersfield,29.958710347368815
54 Aurora,19.77716110608651
55 Anaheim,29.490519520651176
56 Honolulu,0.8200277777777778
57 SantaAna,29.693645069172344
58 Riverside,29.137337219039996
59 CorpusChristi,23.270406567179162
6 Philadelphia,18.00560632097272
60 Lexington,14.978220019763485
61 Stockton,31.258969617793806
62 StLouis,14.689868095333818
63 SaintPaul,16.558337394901685
64 Henderson,26.822420024788133
65 Pittsburgh,15.554162755836973
66 Cincinnati,14.519889148494284
67 Anchorage,68.77604162898213
68 Greensboro,17.504327622014525
69 Plano,18.80187569925971
7 SanAntonio,21.607878136200668
70 Newark,18.350392263759076
71 Lincoln,16.264927293739316
72 Orlando,22.39816611395841
73 Irvine,29.662943640505098
74 Toledo,14.285427226744364
75 JerseyCity,18.473299425518373
76 ChulaVista,30.118286612735734
77 Durham,17.991668517401944
78 FortWayne,14.178086984557668
79 StPetersburg,22.983941438046458
8 SanDiego,29.988972465078906
80 Laredo,23.60962361404218
81 Buffalo,16.29196992764544
82 Madison,15.251572865373666
83 Lubbock,20.54478062506281
84 Chandler,26.410357786487122
85 Scottsdale,26.434475027635383
86 Reno,29.61654719793654
87 Glendale,26.549871445080868
88 Norfolk,19.06877603590928
89 WinstonSalem,17.314239180316903
9 Dallas,18.784185818845682
90 NorthLasVegas,26.67923046260009
91 Gilbert,26.454155696244907
92 Chesapeake,19.285931748902957
93 Irving,18.922317706763128
94 Hialeah,25.40267700901084
95 Garland,18.77841764646766
96 Fremont,32.09740546176267
97 Richmond,17.96094689813421
98 Boise,27.289224684286285
99 BatonRouge,19.47565346028872
